name,size,price,url
Mascota Vineyards Unanime,750ml,22.99,https://www.totalwine.com/wine/gift-center/deals/red-wine/cabernet-sauvignon/mascota-vineyards-unanime/p/130007750?s=304&igrules=true
Most Wonderful Wine Advent Calendar 2022,24-187ml btls,79.99,https://www.totalwine.com/wine/deals/gift-baskets-sets/gift-baskets/most-wonderful-wine-advent-calendar-2022/p/244980922?s=304&igrules=true
Hall Ranch Cabernet Sauvignon Paso Robles,750ml,19.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/hall-ranch-cabernet-sauvignon-paso-robles/p/224025750?s=304&igrules=true
King Maui Marlborough Sauvignon Blanc,750ml,12.49,https://www.totalwine.com/wine/deals/white-wine/sauvignon-blanc/king-maui-marlborough-sauvignon-blanc/p/237134750?s=304&igrules=true
Ropiteau Pinot Noir,750ml,12.99,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/ropiteau-pinot-noir/p/94711750?s=304&igrules=true
Caliveda Pinot Noir,750ml,17.99,https://www.totalwine.com/wine/red-wine/pinot-noir/caliveda-pinot-noir/p/347421750?s=304&igrules=true
Eccentric Cabernet Sauvignon,750ml,9.99,https://www.totalwine.com/wine/new-arrivals/deals/red-wine/cabernet-sauvignon/eccentric-cabernet-sauvignon/p/213641750?s=304&igrules=true
Rondel Brut Cava,750ml,10.49,https://www.totalwine.com/wine/deals/gift-center/champagne-sparkling-wine/cava/brut/rondel-brut-cava/p/60170750?s=304&igrules=true
Ed Edmundo Cabernet Sauvignon,750ml,10.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/ed-edmundo-cabernet-sauvignon/p/213639750?s=304&igrules=true
Carmen Gran Reserva Cabernet Sauvignon,750ml,17.99,https://www.totalwine.com/wine/new-arrivals/deals/red-wine/cabernet-sauvignon/carmen-gran-reserva-cabernet-sauvignon/p/213696750?s=304&igrules=true
Radius Cabernet,750ml,13.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/radius-cabernet/p/109682750?s=304&igrules=true
Chateau de la Chapelle Blaye Cotes de Bordeaux,750ml,24.99,https://www.totalwine.com/wine/deals/red-wine/bordeaux-blend/chateau-de-la-chapelle-blaye-cotes-de-bordeaux/p/242303750?s=304&igrules=true
Crimson Ranch Chardonnay,750ml,16.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/crimson-ranch-chardonnay/p/161939750?s=304&igrules=true
Guy Mousset Cotes du Rhone Reserve,750ml,14.99,https://www.totalwine.com/wine/deals/red-wine/rhone-blend/guy-mousset-cotes-du-rhone-reserve/p/18266750?s=304&igrules=true
Renieri Rosso di Montalcino,750ml,21.99,https://www.totalwine.com/wine/deals/red-wine/sangiovese/renieri-rosso-di-montalcino/p/113712750?s=304&igrules=true
Muirwood Chardonnay Arroyo Seco,750ml,14.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/muirwood-chardonnay-arroyo-seco/p/94390750?s=304&igrules=true
Iter Chardonnay California,750ml,12.99,https://www.totalwine.com/wine/deals/new-arrivals/white-wine/chardonnay/iter-chardonnay-california/p/164293750?s=304&igrules=true
D'Autrefois Pinot Noir,750ml,13.99,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/dautrefois-pinot-noir/p/95164750?s=304&igrules=true
Olema Sauvignon Blanc Loire,750ml,15.99,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/olema-sauvignon-blanc-loire/p/231443750?s=304&igrules=true
La Vostra Prosecco,750ml,14.49,https://www.totalwine.com/wine/deals/champagne-sparkling-wine/prosecco/brut/la-vostra-prosecco/p/172976750?s=304&igrules=true
Armani Pinot Grigio Venezie,750ml,12.99,https://www.totalwine.com/wine/deals/white-wine/pinot-grigio-pinot-gris/armani-pinot-grigio-venezie/p/14445750?s=304&igrules=true
Double Black Cabernet Sauvignon Paso Robles,750ml,14.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/double-black-cabernet-sauvignon-paso-robles/p/216029750?s=304&igrules=true
Olema Rose Cotes De Provence,750ml,17.99,https://www.totalwine.com/wine/deals/rose-blush-wine/rose-blend/olema-rose-cotes-de-provence/p/176621750?s=304&igrules=true
Chateau Fabregues Costieres de Nimes Rose,750ml,16.99,https://www.totalwine.com/wine/deals/rose-blush-wine/rhone-blend/chateau-fabregues-costieres-de-nimes-rose/p/140006750?s=304&igrules=true
Renieri Invetro Super Tuscan,750ml,18.99,https://www.totalwine.com/wine/deals/red-wine/red-blend/renieri-invetro-super-tuscan/p/113710750?s=304&igrules=true
Double Black Cabernet Sauvignon Reserve Paso Robles,750ml,18.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/double-black-cabernet-sauvignon-reserve-paso-robles/p/230323750?s=304&igrules=true
Beau Vigne Cabernet Legacy Napa,750ml,74.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/beau-vigne-cabernet-legacy-napa/p/235184750?s=304&igrules=true
Ed Edmundo Pinot Noir Patagonia,750ml,10.99,https://www.totalwine.com/wine/red-wine/pinot-noir/ed-edmundo-pinot-noir-patagonia/p/235699750?s=304&igrules=true
Altaland Malbec Mendoza,750ml,19.99,https://www.totalwine.com/wine/red-wine/malbec/altaland-malbec-mendoza/p/239112750?s=304&igrules=true
Tesoro della Regina Pinot Grigio,750ml,21.99,https://www.totalwine.com/wine/deals/white-wine/pinot-grigio-pinot-gris/tesoro-della-regina-pinot-grigio/p/110475750?s=304&igrules=true
Olema Chardonnay Reserve Sonoma County,750ml,19.99,https://www.totalwine.com/wine/white-wine/chardonnay/olema-chardonnay-reserve-sonoma-county/p/223999750?s=304&igrules=true
River Road Chardonnay Russian River Valley Reserve,750ml,21.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/river-road-chardonnay-russian-river-valley-reserve/p/93152750?s=304&igrules=true
